127.0.0.1 - - [07/May/2018:11:20:33 +0800] "GET / HTTP/1.1" 200 3715
192.168.1.173 - - [07/May/2018:11:20:51 +0800] "GET / HTTP/1.1" 200 3715
192.168.1.173 - - [07/May/2018:11:20:51 +0800] "GET /css/common.css HTTP/1.1" 304 -
192.168.1.173 - - [07/May/2018:11:20:51 +0800] "GET /css/work.css HTTP/1.1" 304 -
192.168.1.173 - - [07/May/2018:11:20:51 +0800] "GET /js/easyUI/jquery.min.js HTTP/1.1" 304 -
192.168.1.173 - - [07/May/2018:11:20:52 +0800] "GET /user/validateCode.do HTTP/1.1" 200 1421
192.168.1.173 - - [07/May/2018:11:21:01 +0800] "POST /user/checkCode.do HTTP/1.1" 200 22
192.168.1.173 - - [07/May/2018:11:21:03 +0800] "POST /user/doLoginUser.do HTTP/1.1" 200 16527
192.168.1.173 - - [07/May/2018:11:21:03 +0800] "GET /js/easyUI/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
192.168.1.173 - - [07/May/2018:11:21:03 +0800] "GET /js/easyUI/themes/icon.css HTTP/1.1" 304 -
192.168.1.173 - - [07/May/2018:11:21:03 +0800] "GET /js/common/common.js HTTP/1.1" 304 -
192.168.1.173 - - [07/May/2018:11:21:03 +0800] "GET /js/easyUI/themes/default/easyui.css HTTP/1.1" 304 -
192.168.1.173 - - [07/May/2018:11:21:03 +0800] "GET /js/easyUI/validatebox.js HTTP/1.1" 304 -
192.168.1.173 - - [07/May/2018:11:21:03 +0800] "GET /js/easyUI/jquery.easyui.min.js HTTP/1.1" 304 -
192.168.1.173 - - [07/May/2018:11:21:07 +0800] "GET /product/toAuditDrProductInfoList.do HTTP/1.1" 200 4987
192.168.1.173 - - [07/May/2018:11:21:07 +0800] "POST /product/auditDrProductInfoList.do HTTP/1.1" 200 2744
192.168.1.173 - - [07/May/2018:11:21:09 +0800] "GET /product/toDrProductInfoList.do HTTP/1.1" 200 32113
192.168.1.173 - - [07/May/2018:11:21:09 +0800] "GET /js/easyUI/themes/icons/redo.png HTTP/1.1" 200 708
192.168.1.173 - - [07/May/2018:11:21:09 +0800] "GET /js/easyUI/themes/default/images/calendar_arrows.png HTTP/1.1" 200 173
